platform,id,sort,rank,parent_id,text,likes,likes_display,published_utc,published_label,creator,url
youtube,UgyeGFG-iyhf-YgWD_94AaABAg,newest,20,,How to build wealth in your 30's... What a massive disappointing awser he gave. So many of us have careers already established and have family we cant just go and work at a Tech AI firm. I thought he would share a great general blue print to follow but we got nothing... And you used that question as one of the headliners when it was a nothing sandwich... Disappointing.,, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyeGFG-iyhf-YgWD_94AaABAg
youtube,UgzIyZekItPqeFF_7UB4AaABAg,newest,21,,Co za bzdury że Bitcon służy przestępcą ... bo jak by pieniądze widucjarne nie dawały takiej możliwości ...,, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzIyZekItPqeFF_7UB4AaABAg
youtube,UgzOJnVMGUh5PvBKw654AaABAg,newest,22,,canada has both private and government run daycares. Government   daycare costs $10.00 a day in Manitoba. Waiting list of course.  Privately run  daycares are outrageously expensive.,, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzOJnVMGUh5PvBKw654AaABAg
youtube,UgyPytvQWYO5CndfKZx4AaABAg,newest,23,,Another billionaire asshole part of problems we have not a solution if not for greedy assholes like u world b lot better off,, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyPytvQWYO5CndfKZx4AaABAg
youtube,UgzoBHOCRm18rmpGLZd4AaABAg,newest,24,,What a boneheaded lol,,2,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzoBHOCRm18rmpGLZd4AaABAg
youtube,UgzQny0FN7-wNXNceoN4AaABAg,newest,25,,شكرا جزيلا على هاذه الحلقة,, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzQny0FN7-wNXNceoN4AaABAg
youtube,UgxoiBzWX4zRgk4qgvN4AaABAg,newest,26,,"He gives 90% of his money to solar, wind, and RNA pesticides. 🧐",, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxoiBzWX4zRgk4qgvN4AaABAg
youtube,UgyfI0vNsJHZ25w7w6F4AaABAg,newest,27,,The wage gap between rich and poor. Has a lot to do with us getting off the gold standard totally in 71’. Look at the next decade. I just don’t think Mr. Grantham noticed the correlation and importance of sound-money. That caused the ripple to cause the gap.,, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyfI0vNsJHZ25w7w6F4AaABAg
youtube,UgzlGlDp2H4A5g_3GFd4AaABAg,newest,28,,"He mentioned Silent Spring at the end, but there's a book we had to read in college called Our Stolen Future and its all about the connection to endocrine distruptors and fertility. Highly worth a read and one I think about regularly 20 years after reading it for the first time.",, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzlGlDp2H4A5g_3GFd4AaABAg
youtube,Ugy8_l0x1Ne7_BNYtUp4AaABAg,newest,29,,BAN ABORTION! IT WILL SAVE OUR BABY SHORTAGE PROBLEM.  PUT BIG MONEY INTO THOSE BABIES.,, ,,2 days ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugy8_l0x1Ne7_BNYtUp4AaABAg
